date,time,planet1,planet2,aspect,aspect_abbrev,angle,planet1_lon,planet2_lon,description
2027.11.10,00:00,Neptune,Pluto,Sextile,Sext,59.0724,5.4899,306.4174,Neptune-Pluto Sext
2027.11.11,00:00,Neptune,Pluto,Sextile,Sext,59.0740,5.4960,306.4219,Neptune-Pluto Sext
2027.11.12,00:00,Neptune,Pluto,Sextile,Sext,59.0756,5.5021,306.4264,Neptune-Pluto Sext
2027.11.13,00:00,Neptune,Pluto,Sextile,Sext,59.0772,5.5081,306.4309,Neptune-Pluto Sext
2027.11.14,00:00,Neptune,Pluto,Sextile,Sext,59.0788,5.5142,306.4355,Neptune-Pluto Sext
2027.11.15,00:00,Neptune,Pluto,Sextile,Sext,59.0804,5.5203,306.4400,Neptune-Pluto Sext
2027.11.16,00:00,Neptune,Pluto,Sextile,Sext,59.0820,5.5264,306.4445,Neptune-Pluto Sext
2027.11.17,00:00,Neptune,Pluto,Sextile,Sext,59.0835,5.5325,306.4490,Neptune-Pluto Sext
2027.11.18,00:00,Neptune,Pluto,Sextile,Sext,59.0851,5.5386,306.4535,Neptune-Pluto Sext
2027.11.19,00:00,Neptune,Pluto,Sextile,Sext,59.0867,5.5447,306.4580,Neptune-Pluto Sext
2027.11.20,00:00,Neptune,Pluto,Sextile,Sext,59.0883,5.5508,306.4625,Neptune-Pluto Sext
2027.11.21,00:00,Neptune,Pluto,Sextile,Sext,59.0898,5.5569,306.4670,Neptune-Pluto Sext
2027.11.22,00:00,Neptune,Pluto,Sextile,Sext,59.0914,5.5630,306.4715,Neptune-Pluto Sext
2027.11.23,00:00,Neptune,Pluto,Sextile,Sext,59.0930,5.5691,306.4761,Neptune-Pluto Sext
2027.11.24,00:00,Neptune,Pluto,Sextile,Sext,59.0946,5.5752,306.4806,Neptune-Pluto Sext
2027.11.25,00:00,Neptune,Pluto,Sextile,Sext,59.0962,5.5813,306.4851,Neptune-Pluto Sext
2027.11.26,00:00,Neptune,Pluto,Sextile,Sext,59.0977,5.5873,306.4896,Neptune-Pluto Sext
2027.11.27,00:00,Neptune,Pluto,Sextile,Sext,59.0993,5.5934,306.4941,Neptune-Pluto Sext
2027.11.28,00:00,Neptune,Pluto,Sextile,Sext,59.1009,5.5995,306.4986,Neptune-Pluto Sext
2027.11.29,00:00,Neptune,Pluto,Sextile,Sext,59.1025,5.6056,306.5031,Neptune-Pluto Sext
2027.11.30,00:00,Neptune,Pluto,Sextile,Sext,59.1041,5.6117,306.5076,Neptune-Pluto Sext
2027.12.01,00:00,Neptune,Pluto,Sextile,Sext,59.1057,5.6178,306.5121,Neptune-Pluto Sext
2027.12.02,00:00,Neptune,Pluto,Sextile,Sext,59.1072,5.6239,306.5167,Neptune-Pluto Sext
2027.12.03,00:00,Neptune,Pluto,Sextile,Sext,59.1088,5.6300,306.5212,Neptune-Pluto Sext
2027.12.04,00:00,Neptune,Pluto,Sextile,Sext,59.1104,5.6361,306.5257,Neptune-Pluto Sext
2027.12.05,00:00,Neptune,Pluto,Sextile,Sext,59.1120,5.6422,306.5302,Neptune-Pluto Sext
2027.12.06,00:00,Neptune,Pluto,Sextile,Sext,59.1136,5.6483,306.5347,Neptune-Pluto Sext
2027.12.07,00:00,Neptune,Pluto,Sextile,Sext,59.1152,5.6544,306.5392,Neptune-Pluto Sext
2027.12.08,00:00,Neptune,Pluto,Sextile,Sext,59.1168,5.6604,306.5437,Neptune-Pluto Sext
2027.12.09,00:00,Neptune,Pluto,Sextile,Sext,59.1183,5.6665,306.5482,Neptune-Pluto Sext
2027.12.10,00:00,Neptune,Pluto,Sextile,Sext,59.1199,5.6726,306.5527,Neptune-Pluto Sext
2027.12.11,00:00,Neptune,Pluto,Sextile,Sext,59.1215,5.6787,306.5572,Neptune-Pluto Sext
2027.12.12,00:00,Neptune,Pluto,Sextile,Sext,59.1231,5.6848,306.5617,Neptune-Pluto Sext
2027.12.13,00:00,Neptune,Pluto,Sextile,Sext,59.1247,5.6909,306.5662,Neptune-Pluto Sext
2027.12.14,00:00,Neptune,Pluto,Sextile,Sext,59.1263,5.6970,306.5707,Neptune-Pluto Sext
2027.12.15,00:00,Neptune,Pluto,Sextile,Sext,59.1278,5.7031,306.5753,Neptune-Pluto Sext
2027.12.16,00:00,Neptune,Pluto,Sextile,Sext,59.1294,5.7092,306.5798,Neptune-Pluto Sext
2027.12.17,00:00,Neptune,Pluto,Sextile,Sext,59.1310,5.7153,306.5843,Neptune-Pluto Sext
2027.12.18,00:00,Neptune,Pluto,Sextile,Sext,59.1326,5.7214,306.5888,Neptune-Pluto Sext
2027.12.19,00:00,Neptune,Pluto,Sextile,Sext,59.1342,5.7275,306.5933,Neptune-Pluto Sext
2027.12.20,00:00,Neptune,Pluto,Sextile,Sext,59.1358,5.7336,306.5978,Neptune-Pluto Sext
2027.12.21,00:00,Neptune,Pluto,Sextile,Sext,59.1373,5.7396,306.6023,Neptune-Pluto Sext
2027.12.22,00:00,Neptune,Pluto,Sextile,Sext,59.1389,5.7457,306.6068,Neptune-Pluto Sext
2027.12.23,00:00,Neptune,Pluto,Sextile,Sext,59.1405,5.7518,306.6113,Neptune-Pluto Sext
2027.12.24,00:00,Neptune,Pluto,Sextile,Sext,59.1421,5.7579,306.6158,Neptune-Pluto Sext
2027.12.25,00:00,Neptune,Pluto,Sextile,Sext,59.1437,5.7640,306.6203,Neptune-Pluto Sext
2027.12.26,00:00,Neptune,Pluto,Sextile,Sext,59.1453,5.7701,306.6248,Neptune-Pluto Sext
2027.12.27,00:00,Neptune,Pluto,Sextile,Sext,59.1469,5.7762,306.6293,Neptune-Pluto Sext
2027.12.28,00:00,Neptune,Pluto,Sextile,Sext,59.1485,5.7823,306.6338,Neptune-Pluto Sext
2027.12.29,00:00,Neptune,Pluto,Sextile,Sext,59.1500,5.7884,306.6383,Neptune-Pluto Sext
2027.12.30,00:00,Neptune,Pluto,Sextile,Sext,59.1516,5.7945,306.6428,Neptune-Pluto Sext
2027.12.31,00:00,Neptune,Pluto,Sextile,Sext,59.1532,5.8006,306.6474,Neptune-Pluto Sext
2028.01.01,00:00,Neptune,Pluto,Sextile,Sext,59.1548,5.8067,306.6519,Neptune-Pluto Sext
2028.01.02,00:00,Neptune,Pluto,Sextile,Sext,59.1564,5.8128,306.6564,Neptune-Pluto Sext
2028.01.03,00:00,Neptune,Pluto,Sextile,Sext,59.1580,5.8188,306.6609,Neptune-Pluto Sext
2028.01.04,00:00,Neptune,Pluto,Sextile,Sext,59.1596,5.8249,306.6654,Neptune-Pluto Sext
2028.01.05,00:00,Neptune,Pluto,Sextile,Sext,59.1612,5.8310,306.6699,Neptune-Pluto Sext
2028.01.06,00:00,Neptune,Pluto,Sextile,Sext,59.1628,5.8371,306.6744,Neptune-Pluto Sext
2028.01.07,00:00,Neptune,Pluto,Sextile,Sext,59.1643,5.8432,306.6789,Neptune-Pluto Sext
2028.01.08,00:00,Neptune,Pluto,Sextile,Sext,59.1659,5.8493,306.6834,Neptune-Pluto Sext
2028.01.09,00:00,Neptune,Pluto,Sextile,Sext,59.1675,5.8554,306.6879,Neptune-Pluto Sext
2028.01.10,00:00,Neptune,Pluto,Sextile,Sext,59.1691,5.8615,306.6924,Neptune-Pluto Sext
2028.01.11,00:00,Neptune,Pluto,Sextile,Sext,59.1707,5.8676,306.6969,Neptune-Pluto Sext
2028.01.12,00:00,Neptune,Pluto,Sextile,Sext,59.1723,5.8737,306.7014,Neptune-Pluto Sext
2028.01.13,00:00,Neptune,Pluto,Sextile,Sext,59.1739,5.8798,306.7059,Neptune-Pluto Sext
2028.01.14,00:00,Neptune,Pluto,Sextile,Sext,59.1755,5.8859,306.7104,Neptune-Pluto Sext
2028.01.15,00:00,Neptune,Pluto,Sextile,Sext,59.1770,5.8920,306.7149,Neptune-Pluto Sext
2028.01.16,00:00,Neptune,Pluto,Sextile,Sext,59.1786,5.8980,306.7194,Neptune-Pluto Sext
2028.01.17,00:00,Neptune,Pluto,Sextile,Sext,59.1802,5.9041,306.7239,Neptune-Pluto Sext
2028.01.18,00:00,Neptune,Pluto,Sextile,Sext,59.1818,5.9102,306.7284,Neptune-Pluto Sext
