Symbol,Bid,Ask,Spread,Digits,Point,TickSize,TickValue,BaseCurrency,ProfitCurrency,Description,SpreadType,Selected,Visible,SessionHigh,SessionLow,Volume,Time,GannCategory,Price360Range,DegreePerPoint
NZDUSD-,0.60161,0.60164,0.00002999999999997449,5,0.00001,0.00001,1.0,NZD,USD,New Zealand Dollar vs US Dollar,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,MICRO,0.36,1000.0
EURCHF-,0.93489,0.93496,0.0000700000000000145,5,0.00001,0.00001,1.2570552224359215,EUR,CHF,Euro vs Swiss Franc,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,MICRO,0.36,1000.0
EURGBP-,0.87186,0.87189,0.000030000000000085514,5,0.00001,0.00001,1.3479800000000002,EUR,GBP,Euro vs Great Britain Pound ,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,MICRO,0.36,1000.0
EURHUF-,396.05,396.21,0.15999999999996817,3,0.001,0.001,0.29662588060808304,EUR,HUF,Euro vs Hungarian Forint,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,LARGE,360.0,1.0
EURMXN-,21.78702,21.79356,0.0065400000000011005,5,0.00001,0.00001,0.05393007318850233,EUR,MXN,EUR vs Mexican Peso,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,MEDIUM,36.0,10.0
EURNZD-,1.95349,1.95376,0.00026999999999999247,5,0.00001,0.00001,0.60161,EUR,NZD,Euro vs New Zealand Dollar,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,SMALL,3.6,100.0
EURPLN-,4.25339,4.2558,0.0024100000000002453,5,0.00001,0.00001,0.27615841551347514,EUR,PLN,Euro vs Polish Zlotny,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,SMALL,3.6,100.0
EURTRY-,47.69183,47.71904,0.027209999999996626,5,0.00001,0.00001,0.02465249838279611,EUR,TRY,Euro vs Turkish Lira,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,MEDIUM,36.0,10.0
EURUSD-,1.17526,1.17532,0.00005999999999994898,5,0.00001,0.00001,1.0,EUR,USD,Euro vs US Dollar,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,SMALL,3.6,100.0
EURZAR-,20.81445,20.8241,0.009650000000000603,5,0.00001,0.00001,0.056440033593108,EUR,ZAR,Euro vs South African Rand,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,MEDIUM,36.0,10.0
GBPAUD-,2.05025,2.05042,0.00016999999999978144,5,0.00001,0.00001,0.6574600000000002,GBP,AUD,Great Britain Pound vs Australian Dollar,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,SMALL,3.6,100.0
GBPCAD-,1.84211,1.84219,0.00008000000000008001,5,0.00001,0.00001,0.7316948247225049,GBP,CAD,Great Britain Pound vs Canadian,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,SMALL,3.6,100.0
GBPCHF-,1.07224,1.07234,0.00009999999999998899,5,0.00001,0.00001,1.2570552224359215,GBP,CHF,Great Britain Pound vs Swiss Franc,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,SMALL,3.6,100.0
GBPJPY-,198.423,198.444,0.020999999999986585,3,0.001,0.001,0.6793062924141866,GBP,JPY,Great Britain Pound vs Japanese Yen,Floating,Yes,Yes,0.0,0.0,0.0,2025.07.25 10:30,LARGE,360.0,1.0
